Date,Amount,Type,Merchant,Category,Method
"2026/04/20, 00:46:18",$472.87,TRANSACTION,TOMMY HILFIGER,Family Clothing Stores,Online
"2026/04/20, 00:38:07",$411.94,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/19, 21:59:29","$1,662.36",TRANSACTION,BURLINGTON STORES 1332 1332,Family Clothing Stores,Contactless
"2026/04/19, 11:34:03",$86.11,TRANSACTION,AMAZON MKTPL*BY8KN2BK1,Book Stores,KeyedIn
"2026/04/19, 11:33:57",$58.12,TRANSACTION,AMAZON MKTPL*BS7RB57D2,Book Stores,KeyedIn
"2026/04/19, 11:33:51",$40.15,TRANSACTION,AMAZON MKTPL*BY9KX1BS1,Book Stores,KeyedIn
"2026/04/19, 11:33:44",$176.94,TRANSACTION,AMAZON MKTPL*BS07097L2,Book Stores,KeyedIn
"2026/04/19, 11:33:37",$133.56,TRANSACTION,AMAZON MKTPL*BS8SF5752,Book Stores,KeyedIn
"2026/04/19, 05:31:27",$40.33,TRANSACTION,AMAZON.COM*B732S9IZ0,Book Stores,KeyedIn
"2026/04/19, 02:41:43",$24.08,TRANSACTION,AMAZON MKTPL*B70PH8RF0,Book Stores,KeyedIn
"2026/04/19, 02:16:34",$117.48,TRANSACTION,AMAZON MKTPL*BS6IZ5712,Book Stores,KeyedIn
"2026/04/19, 00:22:23",$89.87,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/18, 22:57:44","$2,220.28",TRANSACTION,ROSS STORES #1133,Discount Stores,Contactless
"2026/04/18, 16:58:02",$93.77,TRANSACTION,SAMSCLUB.COM#6279 6279,Wholesale Clubs,Online
"2026/04/18, 11:48:37",$31.39,TRANSACTION,TACO RICO DORAL,"Eating Places, Restaurants",Contactless
"2026/04/17, 22:58:30",$223.01,TRANSACTION,HOTELTONIGHT*PROVIDENT,"Travel Agencies, Tour Operators",Online
"2026/04/17, 18:37:04",$154.08,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/17, 17:30:37",$28.00,TRANSACTION,LOS OLIVOS AEROPUERTO     (AX),Fast Food Restaurants,Contactless
"2026/04/17, 16:08:32",$18.16,TRANSACTION,AMAZON MKTPL*BS0QU3V52,Book Stores,KeyedIn
"2026/04/17, 15:44:44",$13.70,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/16, 18:16:18",$149.80,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/16, 17:18:27",$386.46,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/16, 10:52:05",$204.59,TRANSACTION,IKEA ECOMMERCE,Department Stores,Online
"2026/04/16, 03:15:23",$89.52,TRANSACTION,AMAZON MKTPL*B74L10WG1,Book Stores,KeyedIn
"2026/04/16, 00:04:10",$55.49,TRANSACTION,SAMSCLUB.COM#6279 6279,Wholesale Clubs,Online
"2026/04/15, 15:47:12",$155.48,TRANSACTION,AMAZON MKTPL*BS4L95AI2,Book Stores,KeyedIn
"2026/04/15, 02:41:48",$148.92,TRANSACTION,AMAZON MKTPL*B796R81J0,Book Stores,KeyedIn
"2026/04/15, 01:53:24",$21.57,TRANSACTION,AMAZON MKTPL*B73Y171V0,Book Stores,KeyedIn
"2026/04/15, 01:53:19",$17.72,TRANSACTION,AMAZON MKTPL*BS8H63L52,Book Stores,KeyedIn
"2026/04/15, 01:53:15",$87.41,TRANSACTION,AMAZON.COM*BS9EN6LB2,Book Stores,KeyedIn
"2026/04/14, 22:01:24",$92.02,TRANSACTION,AMAZON MKTPL*B741R16E1,Book Stores,KeyedIn
"2026/04/14, 20:09:16",$75.31,TRANSACTION,SAMSCLUB.COM#6279 6279,Wholesale Clubs,Online
"2026/04/14, 19:32:38",$98.44,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/14, 18:39:35",$80.46,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/14, 17:45:22",$165.50,TRANSACTION,"SHEIN US SERVICES, LLC._",Family Clothing Stores,Online
"2026/04/14, 17:34:41",$34.99,TRANSACTION,AMAZON MKTPL*B70O50DC1,Book Stores,KeyedIn
"2026/04/14, 17:34:36",$86.68,TRANSACTION,AMAZON MKTPL*B72PQ3EE0,Book Stores,KeyedIn
"2026/04/14, 17:31:54",$85.56,TRANSACTION,SP SHOPSIMON,Miscellaneous General Merchandise,Online
"2026/04/14, 14:51:45",$5.30,TRANSACTION,AMAZON.COM*B73D67E20,Book Stores,KeyedIn
"2026/04/14, 14:37:24",$22.98,TRANSACTION,SAMSCLUB.COM#6279 6279,Wholesale Clubs,Online
"2026/04/14, 14:37:21",$32.09,TRANSACTION,AMAZON MKTPL*BS2Y374G2,Book Stores,KeyedIn
"2026/04/14, 14:18:25",$58.08,TRANSACTION,AMAZON MKTPL*B72000PU0,Book Stores,KeyedIn
"2026/04/14, 14:12:43",$130.16,TRANSACTION,AMAZON MKTPL*B76BS56U1,Book Stores,KeyedIn
"2026/04/14, 14:11:10",$44.58,TRANSACTION,SAMSCLUB.COM#6279 6279,Wholesale Clubs,Online
"2026/04/14, 14:10:00",$63.34,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/14, 14:04:37",$54.18,TRANSACTION,SAMSCLUB.COM#6279 6279,Wholesale Clubs,Online
"2026/04/14, 13:51:11",$30.82,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/14, 11:51:29",$336.41,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/14, 08:47:13","-$11,775.64",PAYMENT,Payment,N/A,N/A
"2026/04/14, 02:23:23",$100.35,TRANSACTION,AMAZON MKTPL*B74FS9861,Book Stores,KeyedIn
"2026/04/14, 02:13:16",$41.57,TRANSACTION,AMAZON MKTPL*B78V35TH0,Book Stores,KeyedIn
"2026/04/13, 21:08:54",$154.08,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/13, 17:19:34",$297.88,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/13, 14:27:43",$240.54,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/13, 10:35:42",$164.35,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/13, 09:05:24",$34.23,TRANSACTION,AMAZON MKTPL*B76E41L20,Book Stores,KeyedIn
"2026/04/13, 02:23:12",$70.62,TRANSACTION,AMAZON MKTPL*BY0HV5KH2,Book Stores,KeyedIn
"2026/04/12, 20:15:46",$26.52,TRANSACTION,SAMSCLUB.COM#6279 6279,Wholesale Clubs,Online
"2026/04/12, 20:14:39",$134.54,TRANSACTION,SAMSCLUB.COM#6279 6279,Wholesale Clubs,Online
"2026/04/12, 05:13:24",$21.19,TRANSACTION,AMAZON MKTPL*BC80F5IP0,Book Stores,KeyedIn
"2026/04/12, 05:05:32",$59.91,TRANSACTION,AMAZON MKTPL*B76P39EH1,Book Stores,KeyedIn
"2026/04/12, 05:05:22",$109.08,TRANSACTION,AMAZON.COM*BY4N578C2,Book Stores,KeyedIn
"2026/04/11, 23:55:30",$132.64,TRANSACTION,AMAZON MKTPL*B78Q980J1,Book Stores,KeyedIn
"2026/04/11, 23:55:25",$22.46,TRANSACTION,AMAZON MKTPL*BC2M84Y80,Book Stores,KeyedIn
"2026/04/11, 23:02:02",$51.36,TRANSACTION,AMAZON MKTPL*BY02528S2,Book Stores,KeyedIn
"2026/04/11, 22:11:09",$180.61,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/11, 17:51:37",$528.15,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/11, 16:32:16",$191.74,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/11, 15:41:57",$104.42,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/11, 15:14:52",$93.58,TRANSACTION,SP SHOPSIMON,Miscellaneous General Merchandise,Online
"2026/04/11, 14:41:28",$787.51,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/11, 11:23:22",$403.17,TRANSACTION,SEPHORA.COM,Cosmetic Stores,KeyedIn
"2026/04/10, 21:38:47",$101.65,TRANSACTION,NIKE.COM AP APPLEPA,Shoe Stores,Online
"2026/04/10, 21:31:03",$168.71,TRANSACTION,"SHEIN US SERVICES, LLC._",Family Clothing Stores,Online
"2026/04/10, 21:01:00",$323.09,TRANSACTION,SP SHOPSIMON,Miscellaneous General Merchandise,Online
"2026/04/10, 20:51:54",$48.09,TRANSACTION,JOMASHOP INC.,"Jewelry Stores, Watches, Clocks, and Silverware Stores",Online
"2026/04/10, 20:31:56",$41.09,TRANSACTION,COACH,Luggage and Leather Goods Stores,Online
